outcome,split,model,cv_auc_mean,cv_auc_std,cv_acc_mean,test_auc,test_acc,test_prec,test_rec,used_smote,auc_pass,auc_flag
1_Year_Survival,70_30,gbm,0.5538377422968197,0.0023837872082341986,0.563267587841701,0.5460611799841074,0.5377229080932785,0.5395152792413066,0.7702143663031215,True,False,FAIL
1_Year_Survival,70_30,rf,0.555390803368421,0.002873217435165514,0.5604479443093195,0.5492223243297476,0.5373309817754263,0.5537906137184115,0.5769086122602483,True,False,FAIL
1_Year_Survival,70_30,svm,0.5607003705963957,0.0018949039992701706,0.5574277020631871,0.529113057651222,0.520870076425632,0.5296727676095396,0.7183151560737119,True,False,FAIL
1_Year_Survival,70_30,xgb,0.5488900400499933,0.0017496263463791675,0.5621931585266554,0.5423191409344419,0.519302371154223,0.5545550847457628,0.393757051523129,False,False,FAIL
1_Year_Survival,80_20,gbm,0.5609998577200344,0.004898630963657441,0.5608194462647486,0.5332558155245034,0.5290617848970252,0.5606060606060606,0.6223717409587889,True,False,FAIL
1_Year_Survival,80_20,rf,0.5582305686026484,0.001884627859549182,0.5554866848928328,0.5458908805955529,0.5318077803203661,0.5757299270072993,0.5306980656013457,True,False,FAIL
1_Year_Survival,80_20,svm,0.5650773309705712,0.0015302354709227685,0.5557115393045872,0.5300436396553413,0.5217391304347826,0.5637168141592921,0.535744322960471,True,False,FAIL
1_Year_Survival,80_20,xgb,0.5577170764925817,0.0013803573201386014,0.559304209767228,0.5368948459945755,0.5318077803203661,0.565149136577708,0.6055508830950378,False,False,FAIL
Chronic_GVHD,70_30,gbm,0.5623007857283527,0.0020353176893395056,0.7473318870433753,0.5722098972381002,0.6474622770919067,0.23638693145419604,0.3780737704918033,True,False,FAIL
Chronic_GVHD,70_30,rf,0.5573620035588821,0.008373685698674731,0.7292077026769613,0.5478997763627769,0.7266313932980599,0.23910336239103364,0.19672131147540983,True,False,FAIL
Chronic_GVHD,70_30,svm,0.5588449790792576,0.0025775150836047133,0.6963147050159276,0.5806456978633311,0.7305506564765823,0.26334519572953735,0.22745901639344263,True,False,FAIL
Chronic_GVHD,70_30,xgb,0.5568232105141949,0.004813356548757201,0.7600859797614041,0.5674973286672731,0.6423672349598275,0.23617153511497824,0.38934426229508196,False,False,FAIL
Chronic_GVHD,80_20,gbm,0.5832592724650151,0.005051161188570487,0.7549256953950433,0.5158304495842068,0.5661327231121281,0.18484500574052812,0.40350877192982454,True,False,FAIL
Chronic_GVHD,80_20,rf,0.5731643969452397,0.00469868770466772,0.7349423869290636,0.5162331921629382,0.6800915331807781,0.17672413793103448,0.20551378446115287,True,False,FAIL
Chronic_GVHD,80_20,svm,0.5750759903108745,0.0009775972647525042,0.7020489720035132,0.543463922965308,0.6480549199084669,0.21625766871165644,0.3533834586466165,True,False,FAIL
